extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,sample_lang
.kit,1,1,1,0,0,Kit
.kk,1,1,1,0,0,Koka
.kml,1,1,1,0,0,XML
.kojo,1,1,1,0,0,Scala
.kql,1,0,1,0,0,Kusto
.krl,1,1,1,0,0,KRL
.ksh,1,0,1,0,0,Shell
.ksy,1,0,1,0,0,Kaitai Struct
.kt,1,1,1,0,0,Kotlin
.ktm,1,1,1,0,0,Kotlin
.kts,1,1,1,0,0,Kotlin
.kv,1,0,1,0,0,kvlang
.lagda,1,1,1,0,0,Literate Agda
.lark,1,0,1,0,0,Lark
.las,1,1,1,0,0,Lasso
.lasso,1,1,1,0,0,Lasso
.lasso8,1,1,1,0,0,Lasso
.lasso9,1,1,1,0,0,Lasso
.latte,1,1,1,0,0,Latte
.launch,1,1,1,0,0,XML
